x    y    H
30 20 165.506
28.26 22.35 165.523
26.4217 24.8206 165.54
24.5071 27.3817 165.557
22.543 29.9975 165.574
20.5594 32.6274 165.591
18.5881 35.229 165.609
16.6608 37.7603 165.629
14.8067 40.1824 165.65
13.0514 42.4618 165.672
11.415 44.5724 165.696
9.91143 46.4961 165.721
8.54872 48.2233 165.749
7.32908 49.7517 165.778
6.24984 51.0859 165.809
5.3045 52.2353 165.841
4.48386 53.213 165.875
3.77703 54.0344 165.91
3.17232 54.7156 165.946
2.65794 55.2731 165.983
2.22251 55.7226 166.021
1.85543 56.0787 166.059
1.54699 56.3547 166.098
1.28854 56.5625 166.137
1.07247 56.7126 166.177
0.892146 56.8142 166.217
0.741871 56.8749 166.257
0.616773 56.9015 166.297
0.512721 56.8996 166.337
0.426226 56.874 166.377
0.354355 56.8288 166.417
0.294651 56.7673 166.457
0.24506 56.6923 166.497
0.203871 56.6061 166.537
0.169658 56.5108 166.577
0.141235 56.4078 166.617
0.117617 56.2987 166.656
0.0979872 56.1844 166.695
0.0816671 56.066 166.734
0.0680942 55.9441 166.773
0.056802 55.8195 166.812
0.0474036 55.6926 166.85
0.0395783 55.564 166.889
0.0330601 55.4339 166.927
0.0276283 55.3026 166.965
0.0230998 55.1705 167.003
0.0193227 55.0376 167.04
0.0161709 54.9043 167.078
0.0135397 54.7706 167.115
0.0113421 54.6366 167.152
0.00950566 54.5025 167.189
0.00797043 54.3683 167.225
0.00668635 54.2341 167.262
0.00561184 54.1 167.298
0.00471226 53.966 167.334
0.00395878 53.8321 167.37
0.00332737 53.6983 167.406
0.002798 53.5648 167.441
0.00235397 53.4315 167.476
0.00198135 53.2984 167.511
0.00166851 53.1656 167.546
0.00140572 53.033 167.581
0.00118488 52.9008 167.615
0.000999211 52.7688 167.65
0.000843028 52.637 167.684
0.00071159 52.5056 167.718
0.000600926 52.3745 167.752
0.000507708 52.2437 167.785
0.00042915 52.1132 167.819
0.000362915 51.983 167.852
0.000307045 51.8531 167.885
0.000259895 51.7236 167.918
0.000220087 51.5943 167.951
0.000186461 51.4654 167.983
0.000158045 51.3367 168.016
0.000134021 51.2084 168.048
0.0001137 51.0804 168.08
9.65038e-05 50.9528 168.112
8.19454e-05 50.8254 168.143
6.96146e-05 50.6983 168.175
5.91658e-05 50.5716 168.206
5.03078e-05 50.4452 168.237
4.2795e-05 50.3191 168.268
3.64204e-05 50.1933 168.299
3.10091e-05 50.0678 168.33
2.64134e-05 49.9427 168.36
2.25088e-05 49.8178 168.391
1.91898e-05 49.6933 168.421
1.63673e-05 49.569 168.451
1.39661e-05 49.4451 168.481
1.19224e-05 49.3215 168.511
1.01822e-05 49.1982 168.54
8.69968e-06 49.0752 168.57
7.43627e-06 48.9525 168.599
6.35907e-06 48.8302 168.628
5.44024e-06 48.7081 168.657
4.65617e-06 48.5863 168.686
3.98681e-06 48.4648 168.714
3.41512e-06 48.3437 168.743
2.92665e-06 48.2228 168.771
2.50911e-06 48.1023 168.799
